28 LIPCA 1943; Zwierzyniec
ZABORSKA; Prądnik Biały
ZABORZE; Łagiewniki
JAKUBA ZACHEMSKIEGO; Nowa Huta
ZACHODNIA; Dębniki
ZACIERNIE; Dębniki
ZACISZE; Stare Miasto
ZACZAROWANE KOŁO; Bronowice
ZADWORZE; Podgórze
ZAGAJE; Swoszowice
ZAGŁOBY; Nowa Huta
ZAGONÓW; Dębniki
ZAGOŚCINIEC; Grębałów
ZA GÓRĄ; Nowa Huta
ZAGÓRZE; Dębniki
ZAGRODY; Dębniki
KSIĘDZA ADOLFA ZAGRODZKIEGO; Łagiewniki
ZAGUMNIE; Dębniki
ZAJĘCZA; Czyżyny
ZAKAMYCZE; Zwierzyniec
ZAKARCZMIE; Swoszowice
ZAKARNIE; Nowa Huta
ZAKĄTEK; Łobzów
ZAKĘPIE; Nowa Huta
ZAKLEŚNIE; Dębniki
ZAKLIKI Z MYDLNIK; Bronowice
ZAKLUCZE; Bronowice
ZAKŁADOWA; Grębałów
ZAKOLE; Grębałów
ZAKOPIAŃSKA; Łagiewniki
ZAKOPIAŃSKA; Swoszowice
ZAKRĘT; Zwierzyniec
ZAKRZOWIECKA; Dębniki
ZALESIE; Dębniki
BOGDANA ZALESKIEGO; Grzegórzki
ZA LIPKAMI; Podgórze
ANDRZEJA I JÓZEFA ZAŁUSKICH; Mistrzejowice
LUDWIKA ZAMENHOFFA; Stare Miasto
ZAMGLONA; Dębniki
ZAMIEJSKA; Dębniki
ZAMKNIĘTA; Podgórze
ZAMKOWA; Dębniki
ZAMŁYNIE; Prokocim-Bieżanów
JANA ZAMOYSKIEGO; Podgórze
TOMASZA ZANA; Wola Duchacka
ZA OGRODEM; Grębałów
ZAOGRODZIE; Zwierzyniec
GABRIELI ZAPOLSKIEJ; Bronowice
ZAPORĘBIE; Nowa Huta
ZAPOROSKA; Dębniki
ZAPUSTA; Czyżyny
STANISŁAWA ZAREMBY; Prądnik Biały
ZAROSIE; Prokocim-Bieżanów
ZARUDAWIE; Bronowice
MARIUSZA ZARUSKIEGO; Swoszowice
ZARZECZE; Bronowice
WIESŁAWA ZARZYCKIEGO; Prokocim-Bieżanów
ZASKALE; Zwierzyniec
ZA SKŁONEM; Zwierzyniec
KSIĘDZA JÓZEFA ZASTAWNIAKA; Czyżyny
ZASZKOLNA; Zwierzyniec
ZAŚCIANEK; Zwierzyniec
ZA TARGIEM; Łobzów
ZA TOREM; Podgórze
ZATORSKA; Dębniki
ZAUŁEK; Podgórze
ZAUŁEK JUGOWICKI; Łagiewniki
ZAUŁEK WILEŃSKI; Prądnik Czerwony
ZAWIELGUSIE; Grębałów
JERZEGO ZAWIEYSKIEGO; Mistrzejowice
ZAWIŁA Nr 50 - d.k., 51 - d.k.; Dębniki
ZAWISZY; Swoszowice
ZAWODZIE; Prądnik Biały
ZBARASKA; Dębniki
ZBOŻOWA; Łobzów
ZBROJARZY; Łagiewniki
ZBROJÓW; Łobzów
ZBYDNIOWICKA; Swoszowice
ZBYSZKA Z BOGDAŃCA; Nowa Huta
ZDROJOWA; Wola Duchacka
ZDROWA; Prądnik Biały
ZDUNÓW; Łagiewniki
ZDUŃSKA; Dębniki
ZEFIROWA; Prądnik Biały
EMILA ZEGADŁOWICZA; Stare Miasto
ALEKSANDRA ZELWEROWICZA; Dębniki
ZEMBRZYCKA; Swoszowice
ZESŁAWICKA; Grębałów
ZGODY; Nowa Huta
ZGODY; Prądnik Biały
ZIARKOWA; Nowa Huta
ZIELENIEC; Prokocim-Bieżanów
ZIELIŃSKA; Prądnik Biały
GENERAŁA BOHDANA ZIELIŃSKIEGO; Dębniki
ZIELNA; Dębniki
ZIELONA; Wola Duchacka
ZIELONE; Nowa Huta
ZIELONE WZGÓRZE; Prądnik Biały
ZIELONOGÓRSKA; Łagiewniki
ZIELONY DÓŁ; Zwierzyniec
ZIELONY JAR; Grębałów
ZIELONY MOST; Bronowice
ZIEMIANEK; Nowa Huta
ZIEMSKA; Nowa Huta
MICHAŁA ZIENTARY; Dębniki
SIOSTRY ZYGMUNTY ZIMMER; Swoszowice
ZIMNA; Wola Duchacka
ZIMORODKÓW; Zwierzyniec
SZYMONA ZIMOROWICZA; Prądnik Biały
STEFANA ZIOBROWSKIEGO; Łagiewniki
ZJAZDU GNIEŹNIEŃSKIEGO; Mistrzejowice
ZŁOCIENIOWA; Prokocim-Bieżanów
ZŁOCZOWSKA; Bieńczyce
ZŁOTA; Zwierzyniec
ZŁOTA PODKOWA; Bronowice
ZŁOTEGO WIEKU; Mistrzejowice
ZŁOTEJ JESIENI; Bieńczyce
ZŁOTY RÓG; Bronowice
FRYDERYKA ZOLLA; Prokocim-Bieżanów
ZUCHÓW; Nowa Huta
ZWIERZYNIECKA; Stare Miasto
ZWYCIĘSTWA; Grzegórzki
MIKOŁAJA ZYBLIKIEWICZA; Stare Miasto
ZYGMUNTA AUGUSTA; Grzegórzki
ZYGMUNTA STAREGO; Bronowice
ZYGMUNTOWSKA; Prądnik Biały
ZYNDRAMA Z MASZKOWIC; Wola Duchacka
DOMINIKA ŹDZIEBłY-DANOWSKIEGO; Prądnik Biały
DOMINIKA ŹDZIEBŁY-DANOWSKIEGO; Łobzów
ŹRÓDLANA; Podgórze
ŻABIA; Prokocim-Bieżanów
ŻABINIEC; Prądnik Biały
ŻAGLOWA; Nowa Huta
MICHAŁA ŻAKA; Wola Duchacka
ŻAKÓW KRAKOWSKICH; Swoszowice
ŻELAZNA; Stare Miasto
ROMANA ŻELAZOWSKIEGO; Swoszowice
KASPRA ŻELECHOWSKIEGO; Bronowice
WŁADYSŁAWA ŻELEŃSKIEGO; Bronowice
KIEJSTUTA ŻEMAITISA; Zwierzyniec
ŻEŃCÓW; Podgórze
STEFANA ŻEROMSKIEGO; Nowa Huta
NARCYZY ŻMICHOWSKIEJ; Łagiewniki
ŻMUJDZKA; Prądnik Biały
ŻMUJDZKA; Prądnik Czerwony
ŻNIWNA; Prokocim-Bieżanów
ŻOŁNIERSKA; Podgórze
ŻONKILOWA; Grębałów
HETMANA STANISŁAWA ŻÓŁKIEWSKIEGO; Grzegórzki
ŻÓŁTEJ CIŻEMKI; Grzegórzki
ŻÓŁWIA; Nowa Huta
ŻUBROWA; Zwierzyniec
JERZEGO ŻUŁAWSKIEGO; Stare Miasto
ŻUŁOWSKA; Prądnik Czerwony
ŻURAWIA; Prokocim-Bieżanów
ŻWIRKI I WIGURY; Prądnik Czerwony
ŻWIROWA; Prądnik Biały
ŻYTNIA; Prądnik Czerwony
ŻYWICZNA; Zwierzyniec
ŻYWIECKA; Łagiewniki
ŻYZNA; Dębniki
